atc-code,atc-level,description
L01DB07,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DB07,L01,ANTINEOPLASTIC AGENTS
L01DB07,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V03AB25,V03AB,Antidotes
V03AB25,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB25,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB25,V,VARIOUS
L01AD02,L01AD,Nitrosoureas
L01AD02,L01A,ALKYLATING AGENTS
L01AD02,L01,ANTINEOPLASTIC AGENTS
L01AD02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
J01MA09,J01MA,Fluoroquinolones
J01MA09,J01M,QUINOLONE ANTIBACTERIALS
J01MA09,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01MA09,J,ANTIINFECTIVES FOR SYSTEMIC USE
N02AX03,N02AX,Other opioids
N02AX03,N02A,OPIOIDS
N02AX03,N02,ANALGESICS
N02AX03,N,NERVOUS SYSTEM
S01ED03,S01ED,Beta blocking agents
S01ED03,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01ED03,S01,OPHTHALMOLOGICALS
S01ED03,S,SENSORY ORGANS
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,J01FA,Macrolides
A02BD07,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
A02BD07,J01,ANTIBACTERIALS FOR SYSTEMIC USE
A02BD07,J,ANTIINFECTIVES FOR SYSTEMIC USE
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
A02BD07,A02BD,Combinations for eradication of Helicobacter pylori
A02BD07,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BD07,A02,DRUGS FOR ACID RELATED DISORDERS
A02BD07,A,ALIMENTARY TRACT AND METABOLISM
J01DD54,J01DD,Third-generation cephalosporins
J01DD54,J01D,OTHER BETA-LACTAM ANTIBACTERIALS
J01DD54,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01DD54,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01DD54,J01DD,Third-generation cephalosporins
J01DD54,J01D,OTHER BETA-LACTAM ANTIBACTERIALS
J01DD54,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01DD54,J,ANTIINFECTIVES FOR SYSTEMIC USE
V03AB34,V03AB,Antidotes
V03AB34,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB34,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB34,V,VARIOUS
S01ED54,C07BA,"Beta blocking agents, non-selective, and thiazides"
S01ED54,C07B,BETA BLOCKING AGENTS AND THIAZIDES
S01ED54,C07,BETA BLOCKING AGENTS
S01ED54,C,CARDIOVASCULAR SYSTEM
S01ED54,S01ED,Beta blocking agents
S01ED54,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01ED54,S01,OPHTHALMOLOGICALS
S01ED54,S,SENSORY ORGANS
S01ED54,S01ED,Beta blocking agents
S01ED54,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01ED54,S01,OPHTHALMOLOGICALS
S01ED54,S,SENSORY ORGANS
N05CD04,N05CD,Benzodiazepine derivatives
N05CD04,N05C,HYPNOTICS AND SEDATIVES
N05CD04,N05,PSYCHOLEPTICS
N05CD04,N,NERVOUS SYSTEM
G04CA51,D11AX,Other dermatologicals
G04CA51,D11A,OTHER DERMATOLOGICAL PREPARATIONS
G04CA51,D11,OTHER DERMATOLOGICAL PREPARATIONS
G04CA51,D,DERMATOLOGICALS
G04CA51,G04CB,Testosterone-5-alpha reductase inhibitors
G04CA51,G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
G04CA51,G04,UROLOGICALS
G04CA51,G,GENITO URINARY SYSTEM AND SEX HORMONES
G04CA51,G04CA,Alpha-adrenoreceptor antagonists
G04CA51,G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
G04CA51,G04,UROLOGICALS
G04CA51,G,GENITO URINARY SYSTEM AND SEX HORMONES
L02BG03,L02BG,Aromatase inhibitors
L02BG03,L02B,HORMONE ANTAGONISTS AND RELATED AGENTS
L02BG03,L02,ENDOCRINE THERAPY
L02BG03,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
P01BX01,P01BX,Other antimalarials
P01BX01,P01B,ANTIMALARIALS
P01BX01,P01,ANTIPROTOZOALS
P01BX01,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
M03CA01,M03CA,Dantrolene and derivatives
M03CA01,M03C,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS"
M03CA01,M03,MUSCLE RELAXANTS
M03CA01,M,MUSCULO-SKELETAL SYSTEM
D06AX11,A07AA,Antibiotics
D06AX11,A07A,INTESTINAL ANTIINFECTIVES
D06AX11,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
D06AX11,A,ALIMENTARY TRACT AND METABOLISM
D06AX11,D06AX,Other antibiotics for topical use
D06AX11,D06A,ANTIBIOTICS FOR TOPICAL USE
D06AX11,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06AX11,D,DERMATOLOGICALS
N01AX03,N01AX,Other general anesthetics
N01AX03,N01A,"ANESTHETICS, GENERAL"
N01AX03,N01,ANESTHETICS
N01AX03,N,NERVOUS SYSTEM
R03AK12,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
R03AK12,R03A,"ADRENERGICS, INHALANTS"
R03AK12,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03AK12,R,RESPIRATORY SYSTEM
R03AK12,A07EA,Corticosteroids acting locally
R03AK12,A07E,INTESTINAL ANTIINFLAMMATORY AGENTS
R03AK12,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
R03AK12,A,ALIMENTARY TRACT AND METABOLISM
R03AK12,R03BA,Glucocorticoids
R03AK12,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
R03AK12,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03AK12,R,RESPIRATORY SYSTEM
R03AK12,R01AD,Corticosteroids
R03AK12,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R03AK12,R01,NASAL PREPARATIONS
R03AK12,R,RESPIRATORY SYSTEM
R03AK12,D07AC,"Corticosteroids, potent (group III)"
R03AK12,D07A,"CORTICOSTEROIDS, PLAIN"
R03AK12,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
R03AK12,D,DERMATOLOGICALS
R03AK12,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
R03AK12,R03A,"ADRENERGICS, INHALANTS"
R03AK12,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03AK12,R,RESPIRATORY SYSTEM
R03DA05,R03DA,Xanthines
R03DA05,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R,RESPIRATORY SYSTEM
R03DA05,R03DA,Xanthines
R03DA05,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R,RESPIRATORY SYSTEM
R03DA05,R03DB,Xanthines and adrenergics
R03DA05,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R,RESPIRATORY SYSTEM
R03DA05,R03DA,Xanthines
R03DA05,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DA05,R,RESPIRATORY SYSTEM
N05AH04,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
N05AH04,N05A,ANTIPSYCHOTICS
N05AH04,N05,PSYCHOLEPTICS
N05AH04,N,NERVOUS SYSTEM
B01AB05,B01AB,Heparin group
B01AB05,B01A,ANTITHROMBOTIC AGENTS
B01AB05,B01,ANTITHROMBOTIC AGENTS
B01AB05,B,BLOOD AND BLOOD FORMING ORGANS
M03AC10,M03AC,Other quaternary ammonium compounds
M03AC10,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AC10,M03,MUSCLE RELAXANTS
M03AC10,M,MUSCULO-SKELETAL SYSTEM
N07BC03,N07BC,Drugs used in opioid dependence
N07BC03,N07B,DRUGS USED IN ADDICTIVE DISORDERS
N07BC03,N07,OTHER NERVOUS SYSTEM DRUGS
N07BC03,N,NERVOUS SYSTEM
C01BC08,C01BC,"Antiarrhythmics, class Ic"
C01BC08,C01B,"ANTIARRHYTHMICS, CLASS I AND III"
C01BC08,C01,CARDIAC THERAPY
C01BC08,C,CARDIOVASCULAR SYSTEM
L01CD01,L01CD,Taxanes
L01CD01,L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CD01,L01,ANTINEOPLASTIC AGENTS
L01CD01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
N06BA05,N06BA,Centrally acting sympathomimetics
N06BA05,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BA05,N06,PSYCHOANALEPTICS
N06BA05,N,NERVOUS SYSTEM
J05AE01,J05AE,Protease inhibitors
J05AE01,J05A,DIRECT ACTING ANTIVIRALS
J05AE01,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AE01,J,ANTIINFECTIVES FOR SYSTEMIC USE
A03FA01,A03FA,Propulsives
A03FA01,A03F,PROPULSIVES
A03FA01,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03FA01,A,ALIMENTARY TRACT AND METABOLISM
R01AD53,R01AD,Corticosteroids
R01AD53,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AD53,R01,NASAL PREPARATIONS
R01AD53,R,RESPIRATORY SYSTEM
R01AD53,S02CA,Corticosteroids and antiinfectives in combination
R01AD53,S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
R01AD53,S02,OTOLOGICALS
R01AD53,S,SENSORY ORGANS
R01AD53,S03CA,Corticosteroids and antiinfectives in combination
R01AD53,S03C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
R01AD53,S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
R01AD53,S,SENSORY ORGANS
R01AD53,S01BA,"Corticosteroids, plain"
R01AD53,S01B,ANTIINFLAMMATORY AGENTS
R01AD53,S01,OPHTHALMOLOGICALS
R01AD53,S,SENSORY ORGANS
R01AD53,C05AA,Corticosteroids
R01AD53,C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
R01AD53,C05,VASOPROTECTIVES
R01AD53,C,CARDIOVASCULAR SYSTEM
R01AD53,H02AB,Glucocorticoids
R01AD53,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
R01AD53,H02,CORTICOSTEROIDS FOR SYSTEMIC USE
R01AD53,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
R01AD53,S01CB,Corticosteroids/antiinfectives/mydriatics in combination
R01AD53,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
R01AD53,S01,OPHTHALMOLOGICALS
R01AD53,S,SENSORY ORGANS
R01AD53,S02BA,Corticosteroids
R01AD53,S02B,CORTICOSTEROIDS
R01AD53,S02,OTOLOGICALS
R01AD53,S,SENSORY ORGANS
R01AD53,D10AA,"Corticosteroids, combinations for treatment of acne"
R01AD53,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
R01AD53,D10,ANTI-ACNE PREPARATIONS
R01AD53,D,DERMATOLOGICALS
R01AD53,A01AC,Corticosteroids for local oral treatment
R01AD53,A01A,STOMATOLOGICAL PREPARATIONS
R01AD53,A01,STOMATOLOGICAL PREPARATIONS
R01AD53,A,ALIMENTARY TRACT AND METABOLISM
R01AD53,D07AB,"Corticosteroids, moderately potent (group II)"
R01AD53,D07A,"CORTICOSTEROIDS, PLAIN"
R01AD53,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
R01AD53,D,DERMATOLOGICALS
R01AD53,D07XB,"Corticosteroids, moderately potent, other combinations"
R01AD53,D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS"
R01AD53,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
R01AD53,D,DERMATOLOGICALS
R01AD53,D07CB,"Corticosteroids, moderately potent, combinations with antibiotics"
R01AD53,D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS"
R01AD53,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
R01AD53,D,DERMATOLOGICALS
R01AD53,S03BA,Corticosteroids
R01AD53,S03B,CORTICOSTEROIDS
R01AD53,S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
R01AD53,S,SENSORY ORGANS
R01AD53,S01CA,Corticosteroids and antiinfectives in combination
R01AD53,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
R01AD53,S01,OPHTHALMOLOGICALS
R01AD53,S,SENSORY ORGANS
R01AD53,R01AD,Corticosteroids
R01AD53,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AD53,R01,NASAL PREPARATIONS
R01AD53,R,RESPIRATORY SYSTEM
N04BA01,N04BA,Dopa and dopa derivatives
N04BA01,N04B,DOPAMINERGIC AGENTS
N04BA01,N04,ANTI-PARKINSON DRUGS
N04BA01,N,NERVOUS SYSTEM
N04BA01,N04BA,Dopa and dopa derivatives
N04BA01,N04B,DOPAMINERGIC AGENTS
N04BA01,N04,ANTI-PARKINSON DRUGS
N04BA01,N,NERVOUS SYSTEM
N04BA01,N04BA,Dopa and dopa derivatives
N04BA01,N04B,DOPAMINERGIC AGENTS
N04BA01,N04,ANTI-PARKINSON DRUGS
N04BA01,N,NERVOUS SYSTEM
N01AB08,N01AB,Halogenated hydrocarbons
N01AB08,N01A,"ANESTHETICS, GENERAL"
N01AB08,N01,ANESTHETICS
N01AB08,N,NERVOUS SYSTEM
R06AA01,R06AA,Aminoalkyl ethers
R06AA01,R06A,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA01,R06,ANTIHISTAMINES FOR SYSTEMIC USE
R06AA01,R,RESPIRATORY SYSTEM
N05AX12,N05AX,Other antipsychotics
N05AX12,N05A,ANTIPSYCHOTICS
N05AX12,N05,PSYCHOLEPTICS
N05AX12,N,NERVOUS SYSTEM
N05AF03,N05AF,Thioxanthene derivatives
N05AF03,N05A,ANTIPSYCHOTICS
N05AF03,N05,PSYCHOLEPTICS
N05AF03,N,NERVOUS SYSTEM
B01AC09,B01AC,Platelet aggregation inhibitors excl. heparin
B01AC09,B01A,ANTITHROMBOTIC AGENTS
B01AC09,B01,ANTITHROMBOTIC AGENTS
B01AC09,B,BLOOD AND BLOOD FORMING ORGANS
C10AB04,C10AB,Fibrates
C10AB04,C10A,"LIPID MODIFYING AGENTS, PLAIN"
C10AB04,C10,LIPID MODIFYING AGENTS
C10AB04,C,CARDIOVASCULAR SYSTEM
N06AA04,N06AA,Non-selective monoamine reuptake inhibitors
N06AA04,N06A,ANTIDEPRESSANTS
N06AA04,N06,PSYCHOANALEPTICS
N06AA04,N,NERVOUS SYSTEM
C08EA02,C08EA,Phenylalkylamine derivatives
C08EA02,C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08EA02,C08,CALCIUM CHANNEL BLOCKERS
C08EA02,C,CARDIOVASCULAR SYSTEM
R06AD01,R06AD,Phenothiazine derivatives
R06AD01,R06A,ANTIHISTAMINES FOR SYSTEMIC USE
R06AD01,R06,ANTIHISTAMINES FOR SYSTEMIC USE
R06AD01,R,RESPIRATORY SYSTEM
N06AF01,N06AF,"Monoamine oxidase inhibitors, non-selective"
N06AF01,N06A,ANTIDEPRESSANTS
N06AF01,N06,PSYCHOANALEPTICS
N06AF01,N,NERVOUS SYSTEM
L01CD02,L01CD,Taxanes
L01CD02,L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CD02,L01,ANTINEOPLASTIC AGENTS
L01CD02,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V08AB09,V08AB,"Watersoluble, nephrotropic, low osmolar X-ray contrast media"
V08AB09,V08A,"X-RAY CONTRAST MEDIA, IODINATED"
V08AB09,V08,CONTRAST MEDIA
V08AB09,V,VARIOUS
A07EC03,A07EC,Aminosalicylic acid and similar agents
A07EC03,A07E,INTESTINAL ANTIINFLAMMATORY AGENTS
A07EC03,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A07EC03,A,ALIMENTARY TRACT AND METABOLISM
A10BB08,A10BB,Sulfonylureas
A10BB08,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BB08,A10,DRUGS USED IN DIABETES
A10BB08,A,ALIMENTARY TRACT AND METABOLISM
A10BX08,A10BX,"Other blood glucose lowering drugs, excl. insulins"
A10BX08,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX08,A10,DRUGS USED IN DIABETES
A10BX08,A,ALIMENTARY TRACT AND METABOLISM
G02AB03,G02AB,Ergot alkaloids
G02AB03,G02A,UTEROTONICS
G02AB03,G02,OTHER GYNECOLOGICALS
G02AB03,G,GENITO URINARY SYSTEM AND SEX HORMONES
L01XE06,L01XE,Protein kinase inhibitors
L01XE06,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XE06,L01,ANTINEOPLASTIC AGENTS
L01XE06,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
N06BA12,N06BA,Centrally acting sympathomimetics
N06BA12,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BA12,N06,PSYCHOANALEPTICS
N06BA12,N,NERVOUS SYSTEM
D06AX13,D06AX,Other antibiotics for topical use
D06AX13,D06A,ANTIBIOTICS FOR TOPICAL USE
D06AX13,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06AX13,D,DERMATOLOGICALS
L04AA25,L04AA,Selective immunosuppressants
L04AA25,L04A,IMMUNOSUPPRESSANTS
L04AA25,L04,IMMUNOSUPPRESSANTS
L04AA25,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XE07,L01XE,Protein kinase inhibitors
L01XE07,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XE07,L01,ANTINEOPLASTIC AGENTS
L01XE07,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
S01BA11,D07BB,"Corticosteroids, moderately potent, combinations with antiseptics"
S01BA11,D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS"
S01BA11,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
S01BA11,D,DERMATOLOGICALS
S01BA11,D07AB,"Corticosteroids, moderately potent (group II)"
S01BA11,D07A,"CORTICOSTEROIDS, PLAIN"
S01BA11,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
S01BA11,D,DERMATOLOGICALS
S01BA11,S01BA,"Corticosteroids, plain"
S01BA11,S01B,ANTIINFLAMMATORY AGENTS
S01BA11,S01,OPHTHALMOLOGICALS
S01BA11,S,SENSORY ORGANS
A10BD07,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
A10BD07,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD07,A10,DRUGS USED IN DIABETES
A10BD07,A,ALIMENTARY TRACT AND METABOLISM
A10BD07,A10BD,Combinations of oral blood glucose lowering drugs
A10BD07,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD07,A10,DRUGS USED IN DIABETES
A10BD07,A,ALIMENTARY TRACT AND METABOLISM
A10BD07,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors
A10BD07,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD07,A10,DRUGS USED IN DIABETES
A10BD07,A,ALIMENTARY TRACT AND METABOLISM
A10BD07,A10BD,Combinations of oral blood glucose lowering drugs
A10BD07,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BD07,A10,DRUGS USED IN DIABETES
A10BD07,A,ALIMENTARY TRACT AND METABOLISM
L01BC08,L01BC,Pyrimidine analogues
L01BC08,L01B,ANTIMETABOLITES
L01BC08,L01,ANTINEOPLASTIC AGENTS
L01BC08,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
J02AC04,J02AC,Triazole derivatives
J02AC04,J02A,ANTIMYCOTICS FOR SYSTEMIC USE
J02AC04,J02,ANTIMYCOTICS FOR SYSTEMIC USE
J02AC04,J,ANTIINFECTIVES FOR SYSTEMIC USE
G01AE10,J05AR,"Antivirals for treatment of HIV infections, combinations"
G01AE10,J05A,DIRECT ACTING ANTIVIRALS
G01AE10,J05,ANTIVIRALS FOR SYSTEMIC USE
G01AE10,J,ANTIINFECTIVES FOR SYSTEMIC USE
G01AE10,J05AE,Protease inhibitors
G01AE10,J05A,DIRECT ACTING ANTIVIRALS
G01AE10,J05,ANTIVIRALS FOR SYSTEMIC USE
G01AE10,J,ANTIINFECTIVES FOR SYSTEMIC USE
G01AE10,G01AE,Sulfonamides
G01AE10,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AE10,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01AE10,G,GENITO URINARY SYSTEM AND SEX HORMONES
J05AF11,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
J05AF11,J05A,DIRECT ACTING ANTIVIRALS
J05AF11,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AF11,J,ANTIINFECTIVES FOR SYSTEMIC USE
D06BB12,D06BB,Antivirals
D06BB12,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BB12,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06BB12,D,DERMATOLOGICALS
N05AX13,N05AX,Other antipsychotics
N05AX13,N05A,ANTIPSYCHOTICS
N05AX13,N05,PSYCHOLEPTICS
N05AX13,N,NERVOUS SYSTEM
L01XE04,L01XE,Protein kinase inhibitors
L01XE04,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XE04,L01,ANTINEOPLASTIC AGENTS
L01XE04,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XC08,L01XC,Monoclonal antibodies
L01XC08,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC08,L01,ANTINEOPLASTIC AGENTS
L01XC08,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
S01LA04,S01LA,Antineovascularisation agents
S01LA04,S01L,OCULAR VASCULAR DISORDER AGENTS
S01LA04,S01,OPHTHALMOLOGICALS
S01LA04,S,SENSORY ORGANS
A16AB09,A16AB,Enzymes
A16AB09,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB09,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB09,A,ALIMENTARY TRACT AND METABOLISM
A16AB07,A16AB,Enzymes
A16AB07,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB07,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB07,A,ALIMENTARY TRACT AND METABOLISM
N07BA03,N07BA,Drugs used in nicotine dependence
N07BA03,N07B,DRUGS USED IN ADDICTIVE DISORDERS
N07BA03,N07,OTHER NERVOUS SYSTEM DRUGS
N07BA03,N,NERVOUS SYSTEM
C02LG02,C02DB,Hydrazinophthalazine derivatives
C02LG02,C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C02LG02,C02,ANTIHYPERTENSIVES
C02LG02,C,CARDIOVASCULAR SYSTEM
C02LG02,C02LG,Hydrazinophthalazine derivatives and diuretics
C02LG02,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02LG02,C02,ANTIHYPERTENSIVES
C02LG02,C,CARDIOVASCULAR SYSTEM
A10BX04,A10BX,"Other blood glucose lowering drugs, excl. insulins"
A10BX04,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX04,A10,DRUGS USED IN DIABETES
A10BX04,A,ALIMENTARY TRACT AND METABOLISM
H01AC03,H01AC,Somatropin and somatropin agonists
H01AC03,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AC03,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01AC03,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H01AC03,H01AC,Somatropin and somatropin agonists
H01AC03,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AC03,H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01AC03,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
A10BX05,A10BX,"Other blood glucose lowering drugs, excl. insulins"
A10BX05,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BX05,A10,DRUGS USED IN DIABETES
A10BX05,A,ALIMENTARY TRACT AND METABOLISM
A16AB08,A16AB,Enzymes
A16AB08,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB08,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AB08,A,ALIMENTARY TRACT AND METABOLISM
L01BB07,L01BB,Purine analogues
