drugbank-id,interaction
DB04836,Avoid St.John's Wort.
DB04836,Take with food to reduce irritation.
DB04837,Avoid alcohol.
DB04837,Take without regard to meals.
DB04838,Take with food to reduce irritation.
DB04839,Avoid alcohol.
DB04839,Take after a meal.
DB04840,Take without regard to meals.
DB04841,Avoid alcohol.
DB04841,Take without regard to meals.
DB04842,Avoid alcohol.
DB04855,Absorption of dronedarone increases 3-fold if taken with food especially if meal is high in fat content 
DB04855,Do not take dronedarone with grapefruit juice. Grapefruit juice is a potent CYP3A4 inhibitor which will increase serum concentrations of dronedarone threefold
DB04865,"Homoharringtonine is administered subcutaneously, so food should have no effects. "
DB04871,Administration with or without food has no effect.
DB04920,Grapefruit Juice 
DB04938,"In general, food increased the bioavailability of ospemifene by approximately 2-3 fold."
DB04941,Crofelemer is not affected by food.
DB04946," Administration of iloperidone with a standard high-fat meal did not significantly affect the Cmax or AUC of iloperidone, P88, or P95, but delayed Tmax by 1 hour for iloperidone, 2 hours for P88 and 6 hours for P95. "
DB04946,Can be taken with or without meals
DB04953,"With a high-fat meal, Cmax is moderately increased. "
DB05013,No food effects found.
DB05246,Avoid alcohol
DB05246,Take with food
DB05271,"Because rotigotine is administered transdermally, food should not affect absorption, and the product may be administered without regard to the timing of meals."
DB05521,St. John's wort is a CYP3A4 inducer which will decrease levels of telaprevir.
DB05528,Limit alcohol to a daily maximum of 1 drink (or equivalent) while using mipomersen sodium.
DB05812,Food and high fat meals increases the drug exposure 4.4-fold. It is suggested that abiraterone is taken on an empty stomach. 
DB06152,Take without regard to meals.
DB06153,Take without regard to meals.
DB06154,"Take without regard to meals, taking it with food will dealy the onset on action."
DB06168,No food effects were found.
DB06176,Avoid grapefruit juice.
DB06201,Food increases plasma concentrations of rufinamide and slightly decreases half-life (by 3%) 
DB06204,"Food increases the AUC and Cmax of tapentadol. Despite this, tapentadol can be given without regards to food."
DB06207,"The effect of a moderate fat, moderate calorie meal was variable and decreased silodosin Cmax by approximately 18 − 43% and AUC by 4 − 49%"
DB06209,"Despite being a CYP3A4 inducer, grapefruit juice does not affect the pharmacokinetics of prasugrel"
DB06216,Avoid water and food for at least 10 minutes post administration of asenapine 
DB08477,Food should be taken with the 15 mg and 20 mg tablet. Food increases the bioavailability of the 20 mg dose.
DB08477,"Foods with antiplatelet/anticoagulants properties such as horseradish, gingko, ginger, garlic, feverfew"
DB08477,St. John's Wort is a CYP3A4 inducer and will decrease levels of rivaroxaban
DB06237,"When taken with a high-fat meal, time to maximum plasma concentration is prolonged- Tmax = 1 hour 20 minutes"
DB06268,Take without regard to meals
DB06290,Simeprevir should be taken with food.
DB06335,Administration with a high-fat meal resulted in an increase in Tmax of saxagliptin by approximately 20 minutes as compared to fasted conditions. There was a 27% increase in the AUC of saxagliptin when given with a meal as compared to fasted conditions.
DB06589,Avoid drinking grapefruit juice as it is a CYP 3A4 inhibitor and will increase exposure of pazopanib
DB06589,Bioavailability increases with food. Take pazopanib on empty stomach. 
DB07828,"Alfalfa, Anise, Bilberry may increase the adverse effects of apixaban."
DB07828,Grapefruit juice may increase apixaban serum concentration.
DB07828,St. John's wort will likely decrease apixaban serum concentration. Avoid combination if possible.
DB06616,"When given with a high fat meal, the Cmax and AUC of bosutinib increased 1.8- and 1.7-fold, respectively."
DB06626,"Avoid combination with strong CYP3A4 inhibitors such as grapefruit juice due to the likely increased levels of axitinib. If the combination cannot be avoided, reduce axitinib dose by 50%."
DB06626,Axitinib can be taken with or without food.
DB06637,A high fat meal significantly increases Cmax but this effect is not clinically relevant. May take dalfampridine without regard to meals 
DB06663,"Since Signifor® is administered subcutaneously, food has no effect."
DB06674,"Since golimumab is administered by subcutaneous injection, there are no food effects."
DB06684,Caution taking vilazodone with foods/herbal product with antiplatelet/anticoagulant properties
DB06684,"Gingko bilboa, ginger, garlic, green tea, licorice, horseradish"
DB06691,Avoid alcohol
DB06691,Take with food
DB06693,avoid alcohol 
DB06693,Grape fruit juice increases blood levels of the drug
DB06695,St. John's Wort
DB06697,Grapefruit juice may increase the toxicity of artemether and lumefantrine by inhibiting their metabolism.
DB06697,Take with food as food increases the absorption of artemether and lumefantrine. 
DB06698,Take with food.
DB06700,Take without regard to meals.
DB06701,Avoid alcohol
DB06701,Avoid excessive quantities of coffee or tea (caffeine)
DB06701,Take on empty stomach: 1 hour before or 2 hours after meals
DB06702,Take with or without food.
DB06703,Not affected by food.
DB06708,Grapefruit juice may increase the toxicity of artemether and lumefantrine by inhibiting their metabolism.
DB06708,Take with food as food increases the absorption of lumefantrine and artemether.
DB06712,Take without regard to meals
DB06724,Food increases the absorption of calcium carbonate. 
DB06779,"Herbs (anticoagulant/antiplatelet properties such as ginseng, ginkgo, ginger, garlic)"
DB06146,Take with food. Drink liberally.
DB06822,"Herbs with anticoagulant/antiplatelet properties (ginger, gingko, garlic) may increase the risk of bleeding."
DB08813,"Danshen, dong quai, evening primrose oil, gingko, policosanol, willowbark"
DB08814,Gingko bilboa
DB08814,"Herbs with anticoagulant/antiplatelet activity such as alfalfa, feverfew, ginger, ginseng, grape seed, green tea,  horseradish "
DB08815,"When taken with food, there is a two-fold increase in exposure and  time to maximal concentration is increased by 0.5-1.5 hours. "
DB05989,Exposure increases 2- to 4- fold when given with a high fat meal. It is recommended that ivacaftor be given this way. 
DB05358,Food does not affect absorption or bioavailibity.
DB05358,Nutrition/Herbal interaction
DB08823,No known food interactions.
DB09548,No known food interactions.
DB08826,Food does not affect absorption.
DB08827,"Avoid grapefruit juice, which will likely increase lomitapide plasma concentrations."
DB08827,"When taking lomitapide with food, the risk of GI side effects is increased."
DB08828,Food does not affect absorption.
DB08835,No food effects were found.
DB06514,Avoid taking pitavastatin with red yeast rice. May increase risk of myopathy of pitavastatin via pharmacodynamic synergism. Red yeast rice contain monocolin K (similar to lovastatin) 
DB06514,Take with or without food 
DB05083,Absorption is increased by 40% if taken with food.
DB05083,Co-administration with St. John's wort decreases levels of rilpivirine by inducing CYP3A4 metabolism. Use is contraindicated. 
DB08700,"When given with a high-fat meal, AUC and Cmax were reduced by 14%. Despite this, crizotinib may be given with or without food.  "
DB05366,A high fat meal may lower mean Cmax and increase mean AUC(0-∞) but these changes are not clinically significant. Take without regards to meals. 
DB04922,No food effects.
DB05665,"Food increases the exposure of boceprevir by up to 65%. However, bioavailability is not affected and thus can be taken without regards to meals."
DB08874,Food decreases Cmax of fidaxomicin and its metabolites however this is not considered clinically significant. 
DB05153,Avoid grapefruit juice. Combination may increase levels of cabozantinib. Also avoid all other strong CYP3A4 inhibitors.
DB08876,No food effects found.
DB08877,Take without regards to meals 
DB03805,"Food does not affect teriflunomide pharmacokinetics, so take with or without food."
DB08882,"Although a high fat meal reduces Cmax and increases AUC, this interaction with food is not clinically significant"
DB08883,Food slows perampanel's absorption rate but not extent.
DB05566,"Even when taken with food, linaclotide does not reach detectable levels in the plasma. However, when taken with a high fat meal, one may observe looser stools and a higher stool frequency."
DB05702,"When taken with meals, levels of mirabegron decreased. Furthermore, the magnitude of this effect was greater if taken with a low fat meal, rather than a high fat meal. Despite these findings, dose adjustment is not required."
DB08896,"When taken with a high-fat meal, AUC increased by 48% and decreased mean AUC of M2 and M5 metabolites by 20% and 51% respectively."
DB08898,No food effects were found.
DB08903,"When administered with food, relative bioavailability increases 2-fold"
DB08908,"Food does not affect the pharmacokinetics of dimethyl fumarate, but it may reduce dimethyl fumarate induced GI upset and flushing. "
DB08911,"When taken with a high-fat, high-calorie meal, AUC and Cmax decreased. Tmax was also prolonged compared to fasted conditions."
DB08912,"When taken with a fatty meal, Cmax and AUC decreased. Tmax is also prolonged compared to the fasted condition."
DB09566,"Since radium Ra 223 dichloride is administered intravenously, no food effects should occur."
DB08916,"When given with a high-fat meal, Cmax decreases by 50% and AUC by 39% relative to the fasted state. "
DB08932,Can be taken with or without food.
DB08934,Sofosbuvir can be given with or without food.
DB08935,Echinacea: diminished therapeutic effect of immunosuppressants
DB09034,Grapefruit Juice
DB09049,"A high-fat meal increased the extent and rate of naloxegol absorption. The Cmax and AUC were increased by approximately 30% and 45%, respectively. In clinical trials, naloxegol was dosed on an empty stomach approximately 1 hour prior to the first meal in the morning."
DB09053,Administration with food increases ibrutinib exposure approximately 2-fold compared with administration after overnight fasting.
DB09083,Grapefruit juice may increase ivabradine exposure by twofold (due to its inhibition of CYP3A4). Therefore grapefruit juice consumption is not recommended while taking ivabradine.
DB09570,A food effect study conducted in patients with a single 4 mg dose of ixazomib showed that a high-fat meal decreased ixazomib AUC by 28% and Cmax by 69%.
DB11575,"Relative to fasting conditions, the administration of a single dose of grazoprevir + elbasvir (Zapatier) with a high-fat (900 kcal, 500 kcal from fat) meal to healthy subjects resulted in decreases in elbasvir AUC0-inf and Cmax of approximately 11% and 15%, respectively, and increases in grazoprevir AUC0-inf and Cmax of approximately 1.5-fold and 2.8-fold, respectively."
